@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
60,110,0,1530,60,0.962264,1,0.067073,1,0.932927,0.125714,0.964706,1.036585,0.003959
61,110,0,1529,61,0.961635,1,0.067114,1,0.932886,0.125786,0.964118,1.037218,0.003966
62,110,0,1528,62,0.961006,1,0.067155,1,0.932845,0.125858,0.963529,1.037851,0.003979
63,110,0,1527,63,0.960377,1,0.067196,1,0.932804,0.12593,0.962941,1.038485,0.004059
64,110,0,1526,64,0.959748,1,0.067237,1,0.932763,0.126002,0.962353,1.03912,0.004131
65,110,0,1525,65,0.959119,1,0.067278,1,0.932722,0.126074,0.961765,1.039755,0.004143
66,110,0,1524,66,0.958491,1,0.067319,1,0.932681,0.126147,0.961176,1.040392,0.004238
67,110,0,1523,67,0.957862,1,0.067361,1,0.932639,0.126219,0.960588,1.041029,0.004263
68,110,0,1522,68,0.957233,1,0.067402,1,0.932598,0.126292,0.96,1.041667,0.004266
69,110,0,1521,69,0.956604,1,0.067443,1,0.932557,0.126364,0.959412,1.042305,0.004295
70,110,0,1520,70,0.955975,1,0.067485,1,0.932515,0.126437,0.958824,1.042945,0.004313
71,110,0,1519,71,0.955346,1,0.067526,1,0.932474,0.126509,0.958235,1.043585,0.00434
72,110,0,1518,72,0.954717,1,0.067568,1,0.932432,0.126582,0.957647,1.044226,0.004345
73,110,0,1517,73,0.954088,1,0.067609,1,0.932391,0.126655,0.957059,1.044868,0.004357
74,110,0,1516,74,0.953459,1,0.067651,1,0.932349,0.126728,0.956471,1.04551,0.004372
75,110,0,1515,75,0.95283,1,0.067692,1,0.932308,0.126801,0.955882,1.046154,0.004399
76,110,0,1514,76,0.952201,1,0.067734,1,0.932266,0.126874,0.955294,1.046798,0.004399
77,110,0,1513,77,0.951572,1,0.067776,1,0.932224,0.126947,0.954706,1.047443,0.004499
